# Potential energy = 5.0
# Hopping coefficient = 1.0
# Number of sites = 4
# Number of up spins = 1
# Number of down spins = 2
# Number of qubits = 8
time,energy,ground_energy,energy_diff,beta
0.0,-2.3122742,-2.6029272079467773,0.290653,-1.8329333e-06
0.01,-2.3122737,-2.6029272079467773,0.29065347,-3.4119358e-07
0.02,-2.516979,-2.6029272079467773,0.08594823,0.27774322
0.03,-2.517531,-2.6029272079467773,0.08539629,0.22518718
0.04,-2.5733604,-2.6029272079467773,0.029566765,0.26449454
0.05,-2.573621,-2.6029272079467773,0.029306173,0.16355981
0.06,-2.5909789,-2.6029272079467773,0.011948347,0.1555604
0.07,-2.5910711,-2.6029272079467773,0.011856079,0.09933634
0.08,-2.597487,-2.6029272079467773,0.005440235,0.08681132
0.09,-2.5975194,-2.6029272079467773,0.00540781,0.05949911
0.1,-2.6002781,-2.6029272079467773,0.0026490688,0.04935939
0.11,-2.6002905,-2.6029272079467773,0.002636671,0.036864176
0.12,-2.601595,-2.6029272079467773,0.001332283,0.02933615
0.13,-2.6015995,-2.6029272079467773,0.0013277531,0.024056578
0.14,-2.6022472,-2.6029272079467773,0.0006799698,0.018442065
0.15,-2.60225,-2.6029272079467773,0.00067710876,0.016530607
0.16,-2.6025777,-2.6029272079467773,0.00034952164,0.012253264
0.17,-2.6025789,-2.6029272079467773,0.00034832954,0.011828607
0.18,-2.602746,-2.6029272079467773,0.00018119812,0.008517105
0.19,-2.6027467,-2.6029272079467773,0.00018048286,0.008689734
0.2,-2.6028328,-2.6029272079467773,9.441376e-05,0.006108677
0.21,-2.602833,-2.6029272079467773,9.417534e-05,0.0064758975
0.22,-2.6028774,-2.6029272079467773,4.9829483e-05,0.0044635357
0.23,-2.6028776,-2.6029272079467773,4.9591064e-05,0.004854295
0.24,-2.6028993,-2.6029272079467773,2.7894974e-05,0.003292853
0.25,-2.6028996,-2.6029272079467773,2.7656555e-05,0.003641564
0.26,-2.602911,-2.6029272079467773,1.6212463e-05,0.002437463
0.27,-2.6029112,-2.6029272079467773,1.5974045e-05,0.0027250254
0.28,-2.6029172,-2.6029272079467773,1.001358e-05,0.0018030542
0.29,-2.6029174,-2.6029272079467773,9.775162e-06,0.0020308949
0.3,-2.6029203,-2.6029272079467773,6.914139e-06,0.0013304369
0.31,-2.60292,-2.6029272079467773,7.1525574e-06,0.0015067537
0.32,-2.6029212,-2.6029272079467773,5.9604645e-06,0.0009782091
0.33,-2.6029215,-2.6029272079467773,5.722046e-06,0.001111705
0.34,-2.6029227,-2.6029272079467773,4.529953e-06,0.0007159656
0.35000000000000003,-2.6029222,-2.6029272079467773,5.00679e-06,0.0008164309
0.36,-2.602923,-2.6029272079467773,4.2915344e-06,0.00052139536
0.37,-2.602923,-2.6029272079467773,4.2915344e-06,0.0005967204
0.38,-2.6029234,-2.6029272079467773,3.8146973e-06,0.00037863996
0.39,-2.6029232,-2.6029272079467773,4.053116e-06,0.0004332696
0.4,-2.6029234,-2.6029272079467773,3.8146973e-06,0.00027397726
0.41000000000000003,-2.602923,-2.6029272079467773,4.2915344e-06,0.00031380373
0.42,-2.6029236,-2.6029272079467773,3.5762787e-06,0.0001969196
0.43,-2.6029239,-2.6029272079467773,3.33786e-06,0.00022587416
0.44,-2.6029232,-2.6029272079467773,4.053116e-06,0.00014117778
0.45,-2.602923,-2.6029272079467773,4.2915344e-06,0.00016197926
0.46,-2.6029236,-2.6029272079467773,3.5762787e-06,9.9735116e-05
0.47000000000000003,-2.6029234,-2.6029272079467773,3.8146973e-06,0.00011536054
0.48,-2.6029232,-2.6029272079467773,4.053116e-06,7.0545066e-05
0.49,-2.602923,-2.6029272079467773,4.2915344e-06,8.164389e-05
0.5,-2.6029234,-2.6029272079467773,3.8146973e-06,5.0248524e-05
0.51,-2.6029232,-2.6029272079467773,4.053116e-06,5.7993493e-05
0.52,-2.6029232,-2.6029272079467773,4.053116e-06,3.487558e-05
0.53,-2.602923,-2.6029272079467773,4.2915344e-06,4.0344305e-05
0.54,-2.6029236,-2.6029272079467773,3.5762787e-06,2.4868947e-05
0.55,-2.6029232,-2.6029272079467773,4.053116e-06,2.8317783e-05
0.56,-2.6029232,-2.6029272079467773,4.053116e-06,1.6678869e-05
0.5700000000000001,-2.6029232,-2.6029272079467773,4.053116e-06,1.9566258e-05
0.58,-2.6029236,-2.6029272079467773,3.5762787e-06,1.1621319e-05
0.59,-2.6029232,-2.6029272079467773,4.053116e-06,1.3814406e-05
0.6,-2.6029239,-2.6029272079467773,3.33786e-06,8.057119e-06
0.61,-2.6029232,-2.6029272079467773,4.053116e-06,9.613161e-06
0.62,-2.6029234,-2.6029272079467773,3.8146973e-06,5.4828856e-06
0.63,-2.6029232,-2.6029272079467773,4.053116e-06,6.253033e-06
0.64,-2.6029232,-2.6029272079467773,4.053116e-06,3.7450588e-06
0.65,-2.6029232,-2.6029272079467773,4.053116e-06,4.2917836e-06
0.66,-2.602923,-2.6029272079467773,4.2915344e-06,2.5814e-06
0.67,-2.6029232,-2.6029272079467773,4.053116e-06,2.8766208e-06
0.68,-2.6029236,-2.6029272079467773,3.5762787e-06,1.6024549e-06
0.6900000000000001,-2.6029234,-2.6029272079467773,3.8146973e-06,1.8717619e-06
0.7000000000000001,-2.6029232,-2.6029272079467773,4.053116e-06,9.766386e-07
0.71,-2.6029227,-2.6029272079467773,4.529953e-06,1.2829892e-06
0.72,-2.6029234,-2.6029272079467773,3.8146973e-06,5.237109e-07
0.73,-2.6029234,-2.6029272079467773,3.8146973e-06,6.914513e-07
0.74,-2.6029234,-2.6029272079467773,3.8146973e-06,3.6541167e-07
0.75,-2.6029232,-2.6029272079467773,4.053116e-06,3.96369e-07
0.76,-2.6029227,-2.6029272079467773,4.529953e-06,2.8822237e-07
0.77,-2.6029232,-2.6029272079467773,4.053116e-06,3.062965e-07
0.78,-2.6029239,-2.6029272079467773,3.33786e-06,6.9989284e-08
0.79,-2.6029239,-2.6029272079467773,3.33786e-06,1.5567768e-07
0.8,-2.602923,-2.6029272079467773,4.2915344e-06,2.3963756e-07
0.81,-2.602923,-2.6029272079467773,4.2915344e-06,1.3418894e-08
0.8200000000000001,-2.6029224,-2.6029272079467773,4.7683716e-06,-9.5317654e-07
0.8300000000000001,-2.6029227,-2.6029272079467773,4.529953e-06,7.4230364e-09
0.84,-2.6029234,-2.6029272079467773,3.8146973e-06,1.02375e-07
0.85,-2.602923,-2.6029272079467773,4.2915344e-06,-1.6131043e-08
0.86,-2.6029236,-2.6029272079467773,3.5762787e-06,1.3132279e-07
0.87,-2.6029236,-2.6029272079467773,3.5762787e-06,-9.712875e-08
0.88,-2.6029232,-2.6029272079467773,4.053116e-06,-4.5817643e-07
0.89,-2.6029232,-2.6029272079467773,4.053116e-06,4.2562286e-07
0.9,-2.6029234,-2.6029272079467773,3.8146973e-06,-6.8192077e-07
0.91,-2.6029234,-2.6029272079467773,3.8146973e-06,-3.5847933e-08
0.92,-2.6029234,-2.6029272079467773,3.8146973e-06,1.02381364e-07
0.93,-2.6029234,-2.6029272079467773,3.8146973e-06,6.522124e-07
0.9400000000000001,-2.6029234,-2.6029272079467773,3.8146973e-06,4.8278935e-07
0.9500000000000001,-2.602923,-2.6029272079467773,4.2915344e-06,3.278962e-08
0.96,-2.6029234,-2.6029272079467773,3.8146973e-06,-7.9790695e-08
0.97,-2.6029234,-2.6029272079467773,3.8146973e-06,2.0396797e-08
0.98,-2.6029234,-2.6029272079467773,3.8146973e-06,7.186777e-07
0.99,-2.6029234,-2.6029272079467773,3.8146973e-06,-7.243991e-08
1.0,-2.602923,-2.6029272079467773,4.2915344e-06,1.5778043e-07
1.01,-2.6029232,-2.6029272079467773,4.053116e-06,3.8103323e-07
1.02,-2.6029236,-2.6029272079467773,3.5762787e-06,2.9492162e-07
1.03,-2.6029236,-2.6029272079467773,3.5762787e-06,4.688834e-07
1.04,-2.602923,-2.6029272079467773,4.2915344e-06,7.792352e-07
1.05,-2.602923,-2.6029272079467773,4.2915344e-06,3.0601052e-07
1.06,-2.6029234,-2.6029272079467773,3.8146973e-06,-2.4449278e-09
1.07,-2.6029234,-2.6029272079467773,3.8146973e-06,2.212433e-07
1.08,-2.6029236,-2.6029272079467773,3.5762787e-06,8.299348e-08
1.09,-2.6029236,-2.6029272079467773,3.5762787e-06,8.791652e-08
1.1,-2.6029232,-2.6029272079467773,4.053116e-06,-1.14785834e-07
1.11,-2.602923,-2.6029272079467773,4.2915344e-06,1.4930384e-07
1.12,-2.6029234,-2.6029272079467773,3.8146973e-06,4.6919084e-08
1.1300000000000001,-2.602923,-2.6029272079467773,4.2915344e-06,1.2905844e-07
1.1400000000000001,-2.6029234,-2.6029272079467773,3.8146973e-06,-8.687014e-08
1.1500000000000001,-2.6029234,-2.6029272079467773,3.8146973e-06,1.3423688e-07
1.16,-2.6029234,-2.6029272079467773,3.8146973e-06,1.7908032e-07
1.17,-2.6029234,-2.6029272079467773,3.8146973e-06,9.5487536e-08
1.18,-2.6029232,-2.6029272079467773,4.053116e-06,-8.791096e-08
1.19,-2.602923,-2.6029272079467773,4.2915344e-06,-1.0731943e-07
1.2,-2.6029232,-2.6029272079467773,4.053116e-06,-2.6598231e-08
1.21,-2.6029234,-2.6029272079467773,3.8146973e-06,7.8303586e-08
1.22,-2.6029234,-2.6029272079467773,3.8146973e-06,1.8171118e-08
1.23,-2.6029234,-2.6029272079467773,3.8146973e-06,1.8398005e-08
1.24,-2.6029234,-2.6029272079467773,3.8146973e-06,4.0500343e-08
1.25,-2.6029224,-2.6029272079467773,4.7683716e-06,8.2639495e-08
1.26,-2.6029232,-2.6029272079467773,4.053116e-06,-7.052955e-08
1.27,-2.6029227,-2.6029272079467773,4.529953e-06,1.6559655e-08
1.28,-2.602923,-2.6029272079467773,4.2915344e-06,3.319486e-08
1.29,-2.6029227,-2.6029272079467773,4.529953e-06,4.398981e-08
1.3,-2.6029236,-2.6029272079467773,3.5762787e-06,1.9933366e-07
1.31,-2.6029232,-2.6029272079467773,4.053116e-06,-8.017537e-09
1.32,-2.6029236,-2.6029272079467773,3.5762787e-06,7.273629e-09
1.33,-2.6029236,-2.6029272079467773,3.5762787e-06,-7.8567226e-08
1.34,-2.6029236,-2.6029272079467773,3.5762787e-06,2.1908939e-08
1.35,-2.6029236,-2.6029272079467773,3.5762787e-06,-1.2619405e-07
1.36,-2.6029236,-2.6029272079467773,3.5762787e-06,-2.2546399e-08
1.37,-2.602923,-2.6029272079467773,4.2915344e-06,1.7259768e-07
1.3800000000000001,-2.6029234,-2.6029272079467773,3.8146973e-06,1.2350596e-07
1.3900000000000001,-2.602923,-2.6029272079467773,4.2915344e-06,-1.7144233e-08
1.4000000000000001,-2.6029234,-2.6029272079467773,3.8146973e-06,3.8935548e-07
1.41,-2.6029232,-2.6029272079467773,4.053116e-06,1.6770286e-08
1.42,-2.6029239,-2.6029272079467773,3.33786e-06,-3.8434703e-07
