# Potential energy = 5.0
# Hopping coefficient = 1.0
# Number of sites = 5
# Number of up spins = 2
# Number of down spins = 3
# Number of qubits = 10
time,energy,ground_energy,energy_diff,beta
0.0,-1.2030743,-2.0514326095581055,0.8483583,5.7482583e-07
0.01,-1.2030743,-2.0514326095581055,0.8483583,1.0689876e-06
0.02,-1.7015511,-2.0514326095581055,0.34988153,0.46901917
0.03,-1.7034017,-2.0514326095581055,0.34803092,0.43953383
0.04,-1.9046961,-2.0514326095581055,0.1467365,0.40226746
0.05,-1.9054265,-2.0514326095581055,0.1460061,0.2912084
0.06,-1.988473,-2.0514326095581055,0.06295955,0.21056142
0.07,-1.9887571,-2.0514326095581055,0.062675476,0.18708527
0.08,-2.023842,-2.0514326095581055,0.027590513,0.11672569
0.09,-2.023966,-2.0514326095581055,0.027466536,0.12661996
0.1,-2.0390527,-2.0514326095581055,0.012379885,0.06906095
0.11,-2.0391102,-2.0514326095581055,0.012322426,0.08820542
0.12,-2.0456898,-2.0514326095581055,0.0057427883,0.04272078
0.13,-2.0457172,-2.0514326095581055,0.00571537,0.0618805
0.14,-2.0486264,-2.0514326095581055,0.0028061867,0.027162248
0.15,-2.0486398,-2.0514326095581055,0.0027928352,0.043455403
0.16,-2.04995,-2.0514326095581055,0.0014827251,0.017581448
0.17,-2.0499558,-2.0514326095581055,0.0014767647,0.030450078
0.18,-2.0505636,-2.0514326095581055,0.0008690357,0.011509253
0.19,-2.0505667,-2.0514326095581055,0.0008659363,0.021257978
0.2,-2.050863,-2.0514326095581055,0.000569582,0.0075853593
0.21,-2.0508645,-2.0514326095581055,0.0005681515,0.014774099
0.22,-2.05102,-2.0514326095581055,0.00041270256,0.0050168904
0.23,-2.0510206,-2.0514326095581055,0.0004119873,0.010218432
0.24,-2.0511112,-2.0514326095581055,0.00032138824,0.0033229713
0.25,-2.051111,-2.0514326095581055,0.00032162666,0.007033476
0.26,-2.0511706,-2.0514326095581055,0.00026202202,0.002200785
0.27,-2.0511708,-2.0514326095581055,0.0002617836,0.0048187124
0.28,-2.051213,-2.0514326095581055,0.00021958351,0.0014562474
0.29,-2.051213,-2.0514326095581055,0.00021958351,0.0032875002
0.3,-2.051246,-2.0514326095581055,0.00018668175,0.00096238946
0.31,-2.051246,-2.0514326095581055,0.00018668175,0.002235326
0.32,-2.0512726,-2.0514326095581055,0.00015997887,0.00063483004
0.33,-2.0512726,-2.0514326095581055,0.00015997887,0.001515369
0.34,-2.0512948,-2.0514326095581055,0.00013780594,0.00041847012
0.35000000000000003,-2.0512946,-2.0514326095581055,0.00013804436,0.0010262973
0.36,-2.0513134,-2.0514326095581055,0.00011920929,0.0002752605
0.37,-2.0513136,-2.0514326095581055,0.00011897087,0.0006956776
0.38,-2.0513294,-2.0514326095581055,0.000103235245,0.0001813526
