# Potential energy = 5.0
# Hopping coefficient = 1.0
# Number of sites = 9
# Number of up spins = 4
# Number of down spins = 4
# Number of qubits = 18
time,energy,ground_energy,energy_diff,beta
0.0,-4.1885705,-6.2167181968688965,2.0281477,-3.9530875e-07
0.01,-4.1885705,-6.2167181968688965,2.0281477,-2.945074e-07
0.02,-4.9179173,-6.2167181968688965,1.298801,0.855175
0.03,-4.9231286,-6.2167181968688965,1.2935896,0.8207646
0.04,-5.305165,-6.2167181968688965,0.9115534,0.44886765
0.05,-5.3075223,-6.2167181968688965,0.9091959,0.59756446
0.06,-5.5261908,-6.2167181968688965,0.69052744,0.19268796
0.07,-5.527422,-6.2167181968688965,0.68929625,0.45980984
0.08,-5.657036,-6.2167181968688965,0.55968237,0.076734185
0.09,-5.6577106,-6.2167181968688965,0.55900764,0.35695708
0.1,-5.736808,-6.2167181968688965,0.47991037,0.0219074
0.11,-5.7371974,-6.2167181968688965,0.4795208,0.28265586
0.12,-5.7872305,-6.2167181968688965,0.4294877,-0.0054056775
0.13,-5.787464,-6.2167181968688965,0.42925406,0.22501515
0.14,-5.8205767,-6.2167181968688965,0.39614153,-0.017861743
0.15,-5.8207164,-6.2167181968688965,0.39600182,0.17931578
0.16,-5.8438396,-6.2167181968688965,0.37287855,-0.022466794
0.17,-5.8439264,-6.2167181968688965,0.37279177,0.14282346
0.18,-5.8610497,-6.2167181968688965,0.35566854,-0.023004852
0.19,-5.861102,-6.2167181968688965,0.3556161,0.113636866
0.2,-5.874545,-6.2167181968688965,0.3421731,-0.021548707
0.21,-5.8745766,-6.2167181968688965,0.34214163,0.09035812
0.22,-5.88571,-6.2167181968688965,0.33100843,-0.019250147
0.23,-5.8857293,-6.2167181968688965,0.33098888,0.07185371
0.24,-5.895379,-6.2167181968688965,0.32133913,-0.016723596
0.25,-5.8953924,-6.2167181968688965,0.32132578,0.057185102
0.26,-5.9040556,-6.2167181968688965,0.3126626,-0.014278479
0.27,-5.904063,-6.2167181968688965,0.31265497,0.04558996
0.28,-5.91206,-6.2167181968688965,0.3046584,-0.012062445
0.29,-5.9120646,-6.2167181968688965,0.30465364,0.036434628
0.3,-5.91959,-6.2167181968688965,0.2971282,-0.010125711
0.31,-5.919592,-6.2167181968688965,0.2971263,0.029210968
0.32,-5.926777,-6.2167181968688965,0.2899413,-0.008470138
0.33,-5.926778,-6.2167181968688965,0.28994036,0.02350875
0.34,-5.9337044,-6.2167181968688965,0.28301382,-0.0070778276
0.35000000000000003,-5.933705,-6.2167181968688965,0.28301334,0.01900015
0.36,-5.940428,-6.2167181968688965,0.27629042,-0.0059135123
0.37,-5.9404297,-6.2167181968688965,0.2762885,0.015425772
0.38,-5.946988,-6.2167181968688965,0.2697301,-0.004945948
0.39,-5.946988,-6.2167181968688965,0.2697301,0.012582948
0.4,-5.9534082,-6.2167181968688965,0.26330996,-0.0041444316
0.41000000000000003,-5.9534087,-6.2167181968688965,0.26330948,0.010312824
0.42,-5.9597025,-6.2167181968688965,0.2570157,-0.0034808859
0.43,-5.9597025,-6.2167181968688965,0.2570157,0.008491238
0.44,-5.965886,-6.2167181968688965,0.25083208,-0.0029300125
0.45,-5.965884,-6.2167181968688965,0.250834,0.0070201447
0.46,-5.971963,-6.2167181968688965,0.24475527,-0.002471387
0.47000000000000003,-5.971962,-6.2167181968688965,0.24475622,0.005827141
0.48,-5.9779396,-6.2167181968688965,0.23877859,-0.0020896206
0.49,-5.9779377,-6.2167181968688965,0.2387805,0.0048518497
0.5,-5.983816,-6.2167181968688965,0.23290205,-0.0017681975
0.51,-5.9838166,-6.2167181968688965,0.23290157,0.004050047
0.52,-5.9895964,-6.2167181968688965,0.22712183,-0.0014982675
0.53,-5.9895964,-6.2167181968688965,0.22712183,0.003386923
0.54,-5.9952803,-6.2167181968688965,0.22143793,-0.0012687792
0.55,-5.9952803,-6.2167181968688965,0.22143793,0.0028358737
0.56,-6.0008655,-6.2167181968688965,0.21585274,-0.001076262
0.5700000000000001,-6.000866,-6.2167181968688965,0.21585226,0.0023743594
0.58,-6.0063534,-6.2167181968688965,0.21036482,-0.0009098788
0.59,-6.006353,-6.2167181968688965,0.2103653,0.0019873064
0.6,-6.0117435,-6.2167181968688965,0.20497465,-0.0007690209
0.61,-6.011745,-6.2167181968688965,0.20497322,0.0016595784
0.62,-6.0170336,-6.2167181968688965,0.19968462,-0.00064727606
0.63,-6.017032,-6.2167181968688965,0.19968605,0.0013824105
0.64,-6.022223,-6.2167181968688965,0.1944952,-0.00054219196
0.65,-6.022223,-6.2167181968688965,0.1944952,0.001145886
0.66,-6.0273137,-6.2167181968688965,0.18940449,-0.00045196118
0.67,-6.0273113,-6.2167181968688965,0.18940687,0.0009453068
0.68,-6.0322986,-6.2167181968688965,0.18441963,-0.00037392136
0.6900000000000001,-6.032299,-6.2167181968688965,0.18441916,0.00077375874
0.7000000000000001,-6.0371795,-6.2167181968688965,0.17953873,-0.000307128
0.71,-6.03718,-6.2167181968688965,0.17953825,0.00062701164
0.72,-6.0419636,-6.2167181968688965,0.17475462,-0.00024804776
0.73,-6.041962,-6.2167181968688965,0.17475605,0.0005015212
0.74,-6.046637,-6.2167181968688965,0.17008114,-0.00019833296
0.75,-6.0466394,-6.2167181968688965,0.17007875,0.0003946654
0.76,-6.051211,-6.2167181968688965,0.16550732,-0.00015485795
0.77,-6.051213,-6.2167181968688965,0.16550541,0.00030304934
0.78,-6.0556827,-6.2167181968688965,0.16103554,-0.0001175448
0.79,-6.0556827,-6.2167181968688965,0.16103554,0.00022469132
0.8,-6.060049,-6.2167181968688965,0.15666914,-8.4312574e-05
0.81,-6.06005,-6.2167181968688965,0.15666819,0.00015731962
0.8200000000000001,-6.064315,-6.2167181968688965,0.15240335,-5.679318e-05
0.8300000000000001,-6.064314,-6.2167181968688965,0.15240431,0.00010200343
0.84,-6.0684757,-6.2167181968688965,0.14824247,-3.3343124e-05
0.85,-6.0684757,-6.2167181968688965,0.14824247,5.396706e-05
0.86,-6.0725336,-6.2167181968688965,0.14418459,-1.2749984e-05
0.87,-6.072534,-6.2167181968688965,0.14418411,1.2703604e-05
0.88,-6.0764933,-6.2167181968688965,0.14022493,5.3696526e-06
0.89,-6.0764933,-6.2167181968688965,0.14022493,-2.1359096e-05
0.9,-6.0803533,-6.2167181968688965,0.13636494,2.0269794e-05
0.91,-6.080353,-6.2167181968688965,0.13636541,-5.0229086e-05
0.92,-6.0841136,-6.2167181968688965,0.1326046,3.3584307e-05
0.93,-6.084115,-6.2167181968688965,0.13260317,-7.353251e-05
0.9400000000000001,-6.087778,-6.2167181968688965,0.1289401,4.3428852e-05
0.9500000000000001,-6.0877786,-6.2167181968688965,0.12893963,-9.230428e-05
0.96,-6.091345,-6.2167181968688965,0.12537336,5.1522024e-05
0.97,-6.091344,-6.2167181968688965,0.12537432,-0.00010769698
0.98,-6.094817,-6.2167181968688965,0.121901035,5.867452e-05
0.99,-6.094817,-6.2167181968688965,0.121901035,-0.0001202079
1.0,-6.098197,-6.2167181968688965,0.11852121,6.4398635e-05
1.01,-6.0981956,-6.2167181968688965,0.118522644,-0.00013042346
1.02,-6.1014833,-6.2167181968688965,0.11523485,6.94809e-05
1.03,-6.1014843,-6.2167181968688965,0.1152339,-0.00013717473
1.04,-6.1046834,-6.2167181968688965,0.1120348,7.309558e-05
1.05,-6.104684,-6.2167181968688965,0.11203432,-0.00014228656
1.06,-6.107793,-6.2167181968688965,0.10892534,7.390445e-05
1.07,-6.107791,-6.2167181968688965,0.10892725,-0.00014586745
1.08,-6.110815,-6.2167181968688965,0.10590315,7.570819e-05
1.09,-6.110815,-6.2167181968688965,0.10590315,-0.00014780933
1.1,-6.1137543,-6.2167181968688965,0.102963924,7.773159e-05
1.11,-6.1137547,-6.2167181968688965,0.10296345,-0.0001480901
1.12,-6.1166086,-6.2167181968688965,0.10010958,7.688148e-05
1.1300000000000001,-6.1166105,-6.2167181968688965,0.10010767,-0.00014731477
1.1400000000000001,-6.119385,-6.2167181968688965,0.09733343,7.612057e-05
1.1500000000000001,-6.1193852,-6.2167181968688965,0.097332954,-0.00014610635
1.16,-6.1220818,-6.2167181968688965,0.09463644,7.549449e-05
1.17,-6.1220813,-6.2167181968688965,0.09463692,-0.00014407444
1.18,-6.1247,-6.2167181968688965,0.09201813,7.476981e-05
1.19,-6.1246996,-6.2167181968688965,0.092018604,-0.0001413094
1.2,-6.127245,-6.2167181968688965,0.08947325,7.286827e-05
1.21,-6.1272435,-6.2167181968688965,0.08947468,-0.00013817532
1.22,-6.1297135,-6.2167181968688965,0.08700466,7.178307e-05
1.23,-6.1297135,-6.2167181968688965,0.08700466,-0.00013523895
1.24,-6.1321125,-6.2167181968688965,0.084605694,7.0512375e-05
1.25,-6.132113,-6.2167181968688965,0.08460522,-0.00013063732
1.26,-6.134441,-6.2167181968688965,0.0822773,6.806846e-05
1.27,-6.134442,-6.2167181968688965,0.082276344,-0.0001272024
1.28,-6.1367025,-6.2167181968688965,0.08001566,6.676004e-05
1.29,-6.136702,-6.2167181968688965,0.080016136,-0.00012281898
1.3,-6.138898,-6.2167181968688965,0.0778203,6.3972846e-05
1.31,-6.1388974,-6.2167181968688965,0.07782078,-0.00011835899
1.32,-6.1410294,-6.2167181968688965,0.07568884,6.248231e-05
1.33,-6.1410284,-6.2167181968688965,0.07568979,-0.00011452916
1.34,-6.143095,-6.2167181968688965,0.07362318,5.9560924e-05
1.35,-6.143098,-6.2167181968688965,0.07362032,-0.00010983391
1.36,-6.1451035,-6.2167181968688965,0.07161474,5.7579822e-05
1.37,-6.145104,-6.2167181968688965,0.071614265,-0.00010492935
1.3800000000000001,-6.147053,-6.2167181968688965,0.06966543,5.4692944e-05
1.3900000000000001,-6.147053,-6.2167181968688965,0.06966543,-0.000100613295
1.4000000000000001,-6.1489434,-6.2167181968688965,0.06777477,5.323255e-05
1.41,-6.148944,-6.2167181968688965,0.067774296,-9.668377e-05
1.42,-6.150781,-6.2167181968688965,0.06593704,5.0458388e-05
1.43,-6.1507797,-6.2167181968688965,0.06593847,-9.214755e-05
1.44,-6.152561,-6.2167181968688965,0.06415701,4.881729e-05
1.45,-6.152562,-6.2167181968688965,0.064156055,-8.829478e-05
1.46,-6.1542897,-6.2167181968688965,0.062428474,4.674834e-05
1.47,-6.15429,-6.2167181968688965,0.062427998,-8.4157975e-05
1.48,-6.15597,-6.2167181968688965,0.0607481,4.4555294e-05
1.49,-6.1559696,-6.2167181968688965,0.060748577,-8.022222e-05
1.5,-6.1575985,-6.2167181968688965,0.0591197,4.301702e-05
1.51,-6.1575985,-6.2167181968688965,0.0591197,-7.698655e-05
1.52,-6.159181,-6.2167181968688965,0.05753708,4.1474465e-05
1.53,-6.15918,-6.2167181968688965,0.057538033,-7.252319e-05
1.54,-6.160717,-6.2167181968688965,0.056001186,3.814019e-05
1.55,-6.160716,-6.2167181968688965,0.05600214,-6.987358e-05
1.56,-6.1622066,-6.2167181968688965,0.054511547,3.8897146e-05
1.57,-6.1622066,-6.2167181968688965,0.054511547,-6.632233e-05
1.58,-6.1636515,-6.2167181968688965,0.05306673,3.52669e-05
1.59,-6.163651,-6.2167181968688965,0.053067207,-6.20963e-05
1.6,-6.165057,-6.2167181968688965,0.051661015,3.313649e-05
1.61,-6.165057,-6.2167181968688965,0.051661015,-5.9680806e-05
1.62,-6.1664195,-6.2167181968688965,0.05029869,3.2930322e-05
1.6300000000000001,-6.166418,-6.2167181968688965,0.05030012,-5.6188568e-05
1.6400000000000001,-6.167743,-6.2167181968688965,0.04897499,3.012637e-05
1.6500000000000001,-6.1677427,-6.2167181968688965,0.048975468,-5.3130432e-05
1.6600000000000001,-6.1690273,-6.2167181968688965,0.04769087,2.883325e-05
1.67,-6.1690288,-6.2167181968688965,0.047689438,-5.049845e-05
1.68,-6.170275,-6.2167181968688965,0.046442986,2.7051357e-05
1.69,-6.170276,-6.2167181968688965,0.04644203,-4.749827e-05
1.7,-6.1714873,-6.2167181968688965,0.045230865,2.572198e-05
1.71,-6.1714864,-6.2167181968688965,0.04523182,-4.4870838e-05
1.72,-6.1726646,-6.2167181968688965,0.044053555,2.4092084e-05
1.73,-6.1726627,-6.2167181968688965,0.044055462,-4.246556e-05
1.74,-6.173806,-6.2167181968688965,0.042912006,2.3516797e-05
1.75,-6.1738048,-6.2167181968688965,0.042913437,-4.028376e-05
1.76,-6.174915,-6.2167181968688965,0.04180336,2.177581e-05
1.77,-6.1749144,-6.2167181968688965,0.041803837,-3.8101876e-05
1.78,-6.1759915,-6.2167181968688965,0.04072666,2.080277e-05
1.79,-6.175992,-6.2167181968688965,0.040726185,-3.5925186e-05
1.8,-6.177039,-6.2167181968688965,0.03967905,1.9700674e-05
1.81,-6.177039,-6.2167181968688965,0.03967905,-3.3689153e-05
1.82,-6.178056,-6.2167181968688965,0.038662434,1.8509916e-05
1.83,-6.1780543,-6.2167181968688965,0.038663864,-3.1350362e-05
1.84,-6.179043,-6.2167181968688965,0.03767538,1.666869e-05
1.85,-6.179043,-6.2167181968688965,0.03767538,-2.976896e-05
1.86,-6.180002,-6.2167181968688965,0.036715984,1.6596034e-05
1.87,-6.180002,-6.2167181968688965,0.036715984,-2.8257156e-05
1.8800000000000001,-6.1809344,-6.2167181968688965,0.035783768,1.5224732e-05
1.8900000000000001,-6.1809335,-6.2167181968688965,0.03578472,-2.6676676e-05
1.9000000000000001,-6.1818395,-6.2167181968688965,0.03487873,1.4666535e-05
1.9100000000000001,-6.1818395,-6.2167181968688965,0.03487873,-2.4958614e-05
1.92,-6.1827188,-6.2167181968688965,0.033999443,1.3553711e-05
1.93,-6.18272,-6.2167181968688965,0.033998013,-2.347998e-05
1.94,-6.1835732,-6.2167181968688965,0.03314495,1.2586515e-05
1.95,-6.183574,-6.2167181968688965,0.033143997,-2.2188662e-05
1.96,-6.184404,-6.2167181968688965,0.0323143,1.2073855e-05
1.97,-6.184403,-6.2167181968688965,0.032315254,-2.0828324e-05
1.98,-6.185211,-6.2167181968688965,0.031507015,1.1351002e-05
1.99,-6.185212,-6.2167181968688965,0.03150606,-1.922376e-05
2.0,-6.1859975,-6.2167181968688965,0.03072071,1.0332715e-05
2.0100000000000002,-6.185996,-6.2167181968688965,0.030722141,-1.8306737e-05
2.02,-6.18676,-6.2167181968688965,0.029958248,9.730054e-06
2.0300000000000002,-6.186758,-6.2167181968688965,0.029960155,-1.7584083e-05
2.04,-6.187501,-6.2167181968688965,0.029217243,1.0333371e-05
2.05,-6.1875,-6.2167181968688965,0.029218197,-1.6241855e-05
2.06,-6.188222,-6.2167181968688965,0.028496265,8.620866e-06
2.07,-6.1882215,-6.2167181968688965,0.028496742,-1.4923194e-05
2.08,-6.1889224,-6.2167181968688965,0.027795792,8.136602e-06
2.09,-6.188922,-6.2167181968688965,0.027796268,-1.4579745e-05
2.1,-6.1896024,-6.2167181968688965,0.027115822,8.040297e-06
2.11,-6.1896014,-6.2167181968688965,0.027116776,-1.2925184e-05
2.12,-6.1902637,-6.2167181968688965,0.026454449,6.506173e-06
2.13,-6.1902657,-6.2167181968688965,0.026452541,-1.2895272e-05
2.14,-6.1909084,-6.2167181968688965,0.025809765,7.184194e-06
2.15,-6.1909075,-6.2167181968688965,0.025810719,-1.1717184e-05
2.16,-6.191536,-6.2167181968688965,0.025182247,6.238876e-06
2.17,-6.1915345,-6.2167181968688965,0.025183678,-1.0849127e-05
2.18,-6.192144,-6.2167181968688965,0.02457428,5.6168933e-06
2.19,-6.1921463,-6.2167181968688965,0.024571896,-1.0144418e-05
2.2,-6.1927385,-6.2167181968688965,0.023979664,5.479575e-06
2.21,-6.192737,-6.2167181968688965,0.023981094,-9.6736185e-06
2.22,-6.193313,-6.2167181968688965,0.023405075,5.2771393e-06
2.23,-6.1933126,-6.2167181968688965,0.023405552,-9.17143e-06
2.24,-6.1938744,-6.2167181968688965,0.022843838,5.3462004e-06
2.25,-6.1938734,-6.2167181968688965,0.022844791,-8.660331e-06
2.2600000000000002,-6.1944184,-6.2167181968688965,0.022299767,4.7061903e-06
2.27,-6.194417,-6.2167181968688965,0.022301197,-7.922563e-06
2.2800000000000002,-6.194949,-6.2167181968688965,0.021769047,3.9389915e-06
2.29,-6.194949,-6.2167181968688965,0.021769047,-6.9757857e-06
2.3000000000000003,-6.1954637,-6.2167181968688965,0.02125454,3.678701e-06
2.31,-6.195463,-6.2167181968688965,0.021255016,-7.2510215e-06
2.32,-6.1959677,-6.2167181968688965,0.020750523,4.3497657e-06
2.33,-6.1959667,-6.2167181968688965,0.020751476,-7.2284092e-06
2.34,-6.196456,-6.2167181968688965,0.020262241,4.4021335e-06
2.35,-6.1964564,-6.2167181968688965,0.020261765,-6.0431594e-06
2.36,-6.196929,-6.2167181968688965,0.019789219,3.0020406e-06
2.37,-6.1969295,-6.2167181968688965,0.019788742,-5.4021943e-06
2.38,-6.197393,-6.2167181968688965,0.019325256,3.069346e-06
2.39,-6.1973915,-6.2167181968688965,0.019326687,-5.5358164e-06
2.4,-6.1978436,-6.2167181968688965,0.018874645,3.1070335e-06
2.41,-6.1978445,-6.2167181968688965,0.018873692,-5.103286e-06
2.42,-6.1982803,-6.2167181968688965,0.018437862,2.727502e-06
2.43,-6.1982822,-6.2167181968688965,0.018435955,-4.7193016e-06
