Time,Eigenvalue,Probability
0,-2.6029234,0.24577965577421781
0,-2.6029234,0.580711167900759
0,-2.0,9.057010040726513e-15
0,-1.4051248,1.699275336562533e-14
0,-1.4051248,2.0611526352382465e-14
0,-2.7230464e-15,5.902495178678602e-16
0,5.8511104e-17,3.0904271081904696e-16
0,0.20871215,6.015482409188723e-16
0,0.20871215,3.2586703628717847e-16
0,0.93150586,0.0044723826565054026
0,0.93150586,0.027346641355748602
0,2.0,4.672683363199762e-16
0,3.0,5.0607847558975163e-14
0,4.0684943,0.1104846841376963
0,4.0684943,0.018420723228950386
0,4.791288,1.4960162247951834e-15
0,4.791288,2.542431725984998e-15
0,5.0,2.2438523952045074e-15
0,5.0,6.652017724599329e-16
0,6.4051247,1.1611536055654568e-15
0,6.4051247,2.223716815899159e-15
0,7.0,2.337036690559417e-16
0,7.6029234,0.007466998576123596
0,7.6029234,0.005317776556881315
1,-2.6029234,0.2964369497026418
1,-2.6029234,0.7001437309500922
1,-2.0,2.900862246607598e-11
1,-1.4051248,2.8765121390728083e-11
1,-1.4051248,9.054606513980842e-12
1,-2.7230464e-15,3.4325178032389873e-11
1,5.8511104e-17,7.708497544197236e-12
1,0.20871215,1.0987978065393217e-11
1,0.20871215,8.382850220705079e-12
1,0.93150586,7.111051655007215e-12
1,0.93150586,3.7383968139111456e-12
1,2.0,5.876297686449284e-12
1,3.0,6.696886796458549e-13
1,4.0684943,1.6596220887934303e-12
1,4.0684943,1.146838454482826e-11
1,4.791288,4.825006346218905e-13
1,4.791288,2.6022347816542006e-12
1,5.0,4.382675256112038e-12
1,5.0,1.7092347071987855e-12
1,6.4051247,9.614107465738155e-13
1,6.4051247,7.058480963819839e-13
1,7.0,4.543482099435121e-12
1,7.6029234,5.084353469416644e-12
1,7.6029234,7.1885477614120746e-12
