Time,Eigenvalue,Probability
0,-1.7918458,1.7185492771807373e-05
0,-1.7862201,3.9652994445160536e-14
0,-1.7862201,1.0600496692606634e-13
0,-1.7828591,4.9531247591278336e-14
0,-1.7753371,1.6043395892330276e-14
0,-1.772703,1.6909056355421257e-13
0,-1.772703,1.2130380661833193e-13
0,-1.7628281,6.252376249168394e-14
0,-1.752843,3.9136834810916653e-13
0,-1.752843,1.0136653652514424e-14
0,-1.7519977,8.518460334647898e-06
0,-1.7492262,1.9582012477538976e-15
0,-1.747918,1.8009130000782664e-06
0,-1.7426581,9.117453154114732e-05
0,-1.7372762,1.2240408199139828e-14
0,-1.7372762,1.376451325089767e-13
0,-1.7262661,3.815148391886557e-14
0,-1.7232782,5.766241321876599e-14
0,-1.7232782,3.3859378775286103e-14
0,-1.7110747,4.775693437477335e-14
0,-1.6947917,1.5136413700039299e-05
0,-1.6939377,1.9178300548624303e-05
0,-1.6938336,1.0972667068564471e-13
0,-1.6807652,1.4338898476597025e-13
0,-1.6807652,8.288680727643121e-14
0,-1.668156,2.456323596184624e-14
0,-1.668156,1.4274042306396974e-14
0,-1.6595697,1.3262701801142314e-13
0,-1.6577871,6.03957960708222e-06
0,-1.6560202,0.00011790529103362923
0,-1.6533455,1.6392178904010152e-05
0,-1.6532713,2.6581012654535607e-14
0,-1.6532713,2.795151562135328e-14
0,-1.6312513,1.1719140714559147e-14
0,-1.6058598,5.235423295003373e-05
0,-1.6049972,4.637844048744667e-13
0,-1.6049972,5.638778482487413e-14
0,-1.6028694,3.0434496125425704e-14
0,-1.6002753,7.156828523654919e-14
0,-1.5972612,1.2802693486456305e-13
0,-1.5790689,7.128583790157015e-14
0,-1.5758318,2.495877407431577e-06
0,-1.5715244,0.00016390491953080857
0,-1.5551934,1.4763136053358673e-14
0,-1.5551934,3.7132561564112314e-14
0,-1.536986,3.6618971109529375e-14
0,-1.536986,5.084185884017788e-16
0,-1.5228128,9.961776919443515e-14
0,-1.5228128,8.706186776167054e-16
0,-1.5216457,5.895674358730196e-05
0,-1.5212797,1.7205358058494407e-13
0,-1.5212797,1.7591924916495783e-14
0,-1.5151018,2.522160659783912e-06
0,-1.5140715,6.815728845475599e-15
0,-1.4911135,1.609029921878849e-05
0,-1.4871105,6.172368480669303e-14
0,-1.4871105,7.037772742721636e-14
0,-1.4857668,1.3911180969719022e-13
0,-1.4740764,5.479270644482073e-05
0,-1.4670213,3.771652470442783e-05
0,-1.4651239,5.614016462760112e-14
0,-1.4514803,9.0006128014456e-15
0,-1.4505411,8.502998149631553e-14
0,-1.4482822,0.00011279294229943684
0,-1.4409224,1.2132655538175447e-13
0,-1.4318086,9.205222412574307e-14
0,-1.4312416,1.3599020410530164e-13
0,-1.4257717,2.339785667808016e-14
0,-1.4257717,1.1116179697397943e-15
0,-1.4180924,1.1589375536057384e-05
0,-1.4142135,6.696379622134013e-14
0,-1.4142135,4.0776848748943095e-15
0,-1.4033157,2.449941418483242e-14
0,-1.403083,8.55446954856721e-06
0,-1.3985466,1.0580258457142126e-14
0,-1.3985466,1.5413463890618455e-14
0,-1.3890506,7.624861109293071e-05
0,-1.388954,2.040253330865341e-05
0,-1.3732778,2.2421341505882008e-13
0,-1.3732778,1.311259991091606e-13
0,-1.3672321,6.14055949502713e-14
0,-1.3540871,6.05155992501405e-16
0,-1.3530239,8.250796709399636e-06
0,-1.3499342,6.673607993657505e-14
0,-1.3454467,3.0348609448263516e-13
0,-1.3454467,6.139211549739357e-14
0,-1.3428504,5.222476509312769e-14
0,-1.3428504,3.3757071293052666e-14
0,-1.3407257,8.983066549270516e-05
0,-1.3406504,5.745809308691695e-14
0,-1.3339597,3.2406165207701283e-14
0,-1.3339597,1.1547445826717207e-13
0,-1.312625,1.6756546626147057e-05
0,-1.3018396,6.864119289229982e-14
0,-1.2911491,1.569693452227762e-13
0,-1.2911491,3.739351191881183e-14
0,-1.2837203,4.094399564706034e-05
0,-1.2804905,1.270554996290623e-13
0,-1.2714013,2.83242220292358e-14
0,-1.2656814,4.369159294439283e-15
0,-1.2656814,2.8574678361058306e-15
0,-1.2649883,5.828700556318991e-15
0,-1.2630593,7.607392068944464e-14
0,-1.2630593,1.6356887558239537e-13
0,-1.2604245,2.5049318085060973e-05
0,-1.2591403,1.4377685213395778e-12
0,-1.2522246,1.6462134666170315e-13
0,-1.2522246,7.75005751876193e-14
0,-1.246865,1.0391254877539481e-15
0,-1.2404622,0.00011882847869953972
0,-1.236124,5.3591765285528926e-05
0,-1.2354996,5.139747738807774e-13
0,-1.228945,9.878098568174178e-14
0,-1.228945,5.081633351950116e-14
0,-1.2230608,4.3933828313640764e-13
0,-1.214395,2.927203395052851e-14
0,-1.212562,9.20231318229771e-14
0,-1.2072673,1.142466174886458e-13
0,-1.2072673,1.0638140608432558e-13
0,-1.2017568,3.388022818783027e-14
0,-1.2017568,7.86022784769089e-14
0,-1.1944779,9.78062970925786e-06
0,-1.186736,1.0014313696176703e-05
0,-1.176831,3.9907036441017455e-14
0,-1.169441,8.094392335076675e-14
0,-1.1619656,1.9373672528591457e-05
0,-1.1591734,8.646104646344808e-14
0,-1.1591734,1.3048812459709227e-13
0,-1.1494879,1.1301224927333054e-13
0,-1.1443962,2.215241713631842e-15
0,-1.1443962,1.4880457207717523e-14
0,-1.1199967,3.78519432731074e-05
0,-1.1109258,1.0482802235035e-13
0,-1.1109258,3.596103545099867e-14
0,-1.1004559,1.3499561135421753e-05
0,-1.0984304,5.541823886403948e-15
0,-1.0984304,8.422442378255851e-14
0,-1.0950382,8.617996162949698e-06
0,-1.0754029,7.843588491172144e-15
0,-1.0695101,3.017226335052055e-14
0,-1.0693998,0.00011333377724937702
